Name,Branch,Year,Rollno,Email
Ashish,CSE,2nd,2043,Ashish@gmail.com
Bhuvaneshwari,CSE,2nd,20112,Bhuvana@gmail.com
Subham,CSE,2nd,1062,subham@gmail.com
Rohan,CSE,2nd,1063,Rohan@gmail.com
Tejaswini,CSE,2nd,1064,Tejashwini@gmail.com
Mithula,CSE,2nd,1065,Mithula@gmail.com
Srinithya,CSE,2nd,1066,Nithya@gmail.com
KavyaSri,CSE,2nd,1067,Kavya@gmail.com
Uday,CSE,2nd,1068,uday@gmail.com
Pravallika,CSE,2nd,1069,pravallika@gmail.com
Akshitha,CSE,2nd,1070,Akshitha@gmail.com
Akshaya,CSE,2nd,1074,Akshaya@gmail.com
Edward,CSE,2nd,1076,Edward@gmail.com
Karthik,CSE,2nd,1077,Karthik@gmail.com
Nageshwar,CSE,2nd,1078,Nageshwar@gmail.com
Soumitha,CSE,2nd,1079,Soumitha@gmail.com
Risheendra,CSE,2nd,1080,Risheendra@gmail.com
Nomman,CSE,2nd,1081,Nomman@gmail.com
Zaid,CSE,2nd,1083,Zaid@gmail.com
Mahalaxmi,CSE,2nd,1084,Mahalaxmi@gmail.com
Sravya,CSE,2nd,1086,Sravya@gmail.com
Jwalin,CSE,2nd,1088,Jwalin@gmail.com
Ankit,CSE,2nd,1089,Ankit@gmail.com
